usertoken,visGroup,trial_duration,vars,varIndex,prior_belief,prior_lwr,prior_upr,post_belief,post_lwr,post_upr,diff_belief,diff_uncertainty,pop_corr,sample_corr,post_error,post_error_abs,prior_uncertainty,post_uncertainty,prior_sd,post_sd,exclude
08zKHo8E,scatter,12198,Exercise amount_Body weight,2,-0.278001888,-0.558786705,0.002782929,-0.462459028,-0.661550504,-0.263367553,-0.18446,-0.16339,-0.4,-0.42,-0.042459028,0.042459028,0.561569634,0.398182951,0.140392409,0.099545738,0
08zKHo8E,band,14627,Government spending_Budget deficit,7,0.610892976,0.352658054,0.869127897,1,0.949413483,1,0.38911,-0.46588,0.9,0.93,0.07,0.07,0.516469843,0.050586517,0.129117461,0.025293259,0
08zKHo8E,band,6970,Immigrant population_Economic growth,9,0.413527036,0.162273951,0.664780121,0.146512408,-0.026892794,0.319917609,-0.26701,-0.1557,0.4,0.44,-0.293487592,0.293487592,0.502506169,0.346810403,0.125626542,0.086702601,0
08zKHo8E,band,17069,Income tax rate_Poverty rate,8,-0.79695015,-0.940931343,-0.652968956,-0.054531912,-0.292996169,0.183932344,0.74242,0.18897,0,0.08,-0.134531912,0.134531912,0.287962387,0.476928512,0.071990597,0.119232128,0
08zKHo8E,band,14045,Labor union participation_Corporate profits,5,-0.577601162,-0.731460204,-0.42374212,-0.668208859,-0.737718306,-0.598699412,-0.09061,-0.1687,-0.4,-0.41,-0.258208859,0.258208859,0.307718085,0.139018894,0.076929521,0.034754723,0
08zKHo8E,scatter,23698,Temperature_Crime rate,3,0.342622831,0.167682657,0.517563005,0.672588571,0.624694335,0.720482808,0.32997,-0.25409,0.4,0.4,0.272588571,0.272588571,0.349880348,0.095788473,0.087470087,0.023947118,0
08zKHo8E,scatter,12099,Temperature_Sales of Mittens,1,-0.826473864,-0.855993763,-0.796953964,-0.935256691,-0.960111076,-0.910402307,-0.10878,-0.00933,-0.9,-0.89,-0.045256691,0.045256691,0.059039798,0.049708769,0.01475995,0.012427192,0
08zKHo8E,band,8208,Vaccination rate_Rate of illness,6,-0.739933837,-0.907379413,-0.572488261,-0.79481214,-0.826063186,-0.763561095,-0.05488,-0.27239,-0.9,-0.89,0.09518786,0.09518786,0.334891152,0.062502091,0.083722788,0.015625523,0
08zKHo8E,scatter,16959,Weight_Price,4,0.878356065,0.817718221,0.938993909,1,0.946793671,1,0.12164,-0.06807,0.9,0.9,0.1,0.1,0.121275688,0.053206329,0.030318922,0.026603164,0
08zKHo8E,scatter,29749,Yearly income_Height,0,0.322253702,0.123467931,0.521039472,0.169988794,0.035720323,0.304257266,-0.15226,-0.12903,0,0.02,0.149988794,0.149988794,0.397571541,0.268536943,0.099392885,0.067134236,0
09rIYGes,scatter,20923,Exercise amount_Body weight,2,-0.706089925,-1,-0.246858544,-1,-1,0.429104541,-0.29391,0.67596,-0.4,-0.42,-0.58,0.58,0.753141456,1.429104541,0.22961569,0.71455227,0
09rIYGes,line,13515,Government spending_Budget deficit,5,0.447734053,0.017923626,0.877544479,0.615700576,0.09880651,1,0.16797,0.04157,0.9,0.93,-0.314299424,0.314299424,0.859620853,0.90119349,0.214905213,0.258447033,0
09rIYGes,line,11168,Immigrant population_Economic growth,6,0.449229933,0.074382675,0.82407719,0.20330536,-0.593389281,1,-0.24592,0.84369,0.4,0.44,-0.23669464,0.23669464,0.749694514,1.593389281,0.187423629,0.39834732,0
09rIYGes,line,25738,Income tax rate_Poverty rate,9,-0.019143271,-0.576871969,0.538585427,-0.10445937,-0.996339711,0.78742097,-0.08532,0.6683,0,0.08,-0.18445937,0.18445937,1.115457396,1.78376068,0.278864349,0.44594017,0
