,attention1,attention2,bandTestErrorCount,count responses,lineTestErrorCount,response duration,total duration (mturk),usertoken
0,take some medicine immediately,yell out and ask for help,3,30,5,6.666666666666667,18.05,ib8fhchj
1,No,N othing,2,30,2,5.0,18.383333333333333,mNxXskAm
2,I will try to calm myself by yoga and exercise,I will try to get the item after my free time,4,30,0,5.766666666666667,18.383333333333333,fNtYi8bE
3,Went to the interview and best to myself,went to buying for online,3,30,1,6.916666666666667,24.0,PUhRawzc
4,"Reschedule the interview, tell them the truth and let them know you don't want to expose them.",I would wait for a minute and then I would go to another store.,2,30,3,18.316666666666666,50.8,eO823cco
5,"I asked him what his course of action would be, because I knew that we needed some quick and effective management. The site manager shared his course o","In incident-level decision making, a Course of Action (COA) is an overall plan that describes the selected strategies and management actions intended to achieve Incident Objectives, comply with Incident Requirements, and are based on current and expected conditions.",4,30,0,6.516666666666667,55.46666666666667,UVR4S5vg
6,Call into your interview to let them know you are sick.,Look around for the cashier and call out for them. If no one comes go to another store.,2,30,0,8.783333333333333,16.366666666666667,NO3T9tQi
7,Call the interviewer to reschedule the interview,Put the amount of money you owe on the table and wave at the camera with the item and walk out,0,30,0,4.3,7.716666666666667,wswqBWIU
8,I will go to hospital and take medications.,I will look for the cashier.,1,30,5,14.233333333333333,21.066666666666666,AuVxWJUK
9,I would take some non-drowsy medication and still attend the job interview.,I would try to shout around the store to get the cashier's attention if they are present.,1,30,0,16.15,31.783333333333335,WFQzPEni
10,Call the interviewer to reschedule for another appointment.,Wait and ask for the cashier.,2,30,2,5.15,29.016666666666666,ksVch4FK
11,I would call in and see if I could reschedule the interview.,I would probably just exit the store without buying anything.,4,30,1,8.35,32.916666666666664,8nQE5rIn
12,"Test yourself if you can think clearly enough for a job interview, otherwise, call and see if you can reschedule, making it clear it is due to illness.","I would still wait for the cashier. If I absolutely ran out of time, I would just put the item back and leave.",0,30,1,5.7,56.38333333333333,3sw8hFsd
13,reschedule the interview,steal the items,1,30,1,4.416666666666667,34.31666666666667,ScMYgxZ2
14,I will go to the interview,I will stay there until he arrives,3,30,3,8.55,13.966666666666667,HwkNUz4u
15,I could contact the person that I had the interview with and ask to reschedule because I am sick and do not want to infect other people.,"I could yell, ""hello"" so that the cashier would know that I am at the register and ready to check out.",1,30,0,6.233333333333333,24.016666666666666,9MtrIqGc
16,"I would take some medicine and make sure that I am there, because I need the job and should tough it out if it is important to me. ","I would try and find a cashier, but if I am unable too, I would simply either wait or choose to stop somewhere else. ",0,30,0,6.583333333333333,14.233333333333333,zrtzzMMq
17,"I will still go to the interview either ways, but i can still take some medications if i have to",I will have to drop the cash by the counter although i might not be accurate on the exact amount to be paid.,0,30,2,21.083333333333332,52.666666666666664,4qCMLPwT
18,Try to take medication to keep the worst symptoms at bay,You could take the item and walk out,0,30,0,6.65,52.9,k8cfnOrI
19,I would call the interview off and reschedule,leave cash on the counter to cover the amount of the item ,0,30,0,5.783333333333333,27.133333333333333,6VqNTTBM
20,Call in and re-schedule the interiew.,Go to self-checkout.,0,30,0,7.716666666666667,21.05,dEQk6Mhi
21,take cold medicine and go to work unless i thought it was covid 19,leave the money on the counter or yell for help,0,30,0,7.35,13.55,A61QXn4N
22,important job interview,hurry but the cashier,1,30,2,7.4,22.2,yl990Uii
23,I would still go and have hand sanitizer . so I do npt get other people sick too. ,I would wait about a minute and then I would look around to get them to the checkout ,0,30,4,9.95,22.783333333333335,Aono0iKM
24,Stay home from work,take the item but leave the money for it,3,30,1,3.9833333333333334,9.866666666666667,1zPGOn0U
25,Call in sick,Leave without anything.,3,30,2,2.6333333333333333,16.783333333333335,B0wa30cz
26,Treat your symptoms and try to hide any sign of illness as best you can,Hurry around the store and look for the manager or the cashier,0,30,1,7.25,50.95,s4chhFf7
27,"Take a hot shower and get ready anyway, if I progressively feel worse, call and see if I can reschedule.","Wait several minutes, and leave if no one shows up after attempt to locate them.",0,30,0,6.7,56.53333333333333,UzejMK3l
28,don,,0,30,0,3.283333333333333,39.56666666666667,lxx3VEWp
29,Take over the counter medicine and try to make the interview,"I would briefly wait, maybe even try to locate the cashier. If the cashier could not be found, I would return the item and continue onwards with my day",2,30,1,7.316666666666666,N/A,ieWggVcL
30,"I would get up take a warm/cool shower, eat some oatmeal, and then take dayquil and go to the interview.",I would see if there are self checkout machines or find an employee.,1,30,0,10.366666666666667,N/A,qP9qIdMd
31,Let the company that I am interviewing for that I cannot make it due to an illness. I would also make sure to ask if they could allow for me to come in another time.,Put cash on the counter and take what I need.,1,30,1,8.516666666666667,N/A,ZYzDDNNG
32,reschedule the interview,find an employee,3,30,4,2.683333333333333,10.933333333333334,AE1P6Tbt
33,I could take some medication and go to the interview anyway.,I could ring a bell or ask for service.,0,30,1,5.133333333333334,8.85,CD9szYJT
34,Try to reschedule the interview.,Look for the self service lane.,1,30,0,5.083333333333333,9.3,XbhvGiUr
35,yeah absolutely course of action,a choice limited to one of two or more possibilities,4,30,3,6.283333333333333,10.666666666666666,1WvItSyH
36,I would call in and explain how sick you are and try to reschedule.,I would leave cash and take the item.,2,30,3,5.55,9.25,ketCPRX1
37,reschedule,wait,0,30,2,5.533333333333333,11.15,PQHjeZxJ
38,yes,yes,5,30,1,6.833333333333333,12.733333333333333,nhFoK1KX
39,I would reschedule the interview.,I would call out to find the employee.,0,30,0,5.85,12.366666666666667,y5KS876z
40,Feels very sad,very disappointment,3,30,4,6.533333333333333,19.0,Kq7kwrhZ
41,Take tylenol/ibuprofen and still go.,Look around for another cashier to go to.,0,30,0,6.916666666666667,13.5,MW6ysHY2
42,"Drink something warm, do a bit of exercise, shower, and relax before interview",Get attention of any employee,0,30,0,8.45,15.383333333333333,vBx9uVpC
43,nice,good,9,30,2,4.85,14.166666666666666,a7258x0T
44,I would call the intending interviewer so as to reschedule the interview for another day.,I would probably wait around till the cashier is present.,0,30,1,6.783333333333333,14.733333333333333,Q77i0B3m
45,I would take medicine and go to the interview.,I would go find the cashier and tell them I need to check out.,1,30,1,5.083333333333333,15.183333333333334,WiONdvUM
46,I would ask if I could reschedule the interview due to personal issues.,I would walk around to look for an employee.,0,30,0,5.766666666666667,13.333333333333334,CEHuBY2N
47,call the organization to report the situation ,i will pass to another store,4,30,2,6.883333333333334,15.4,jRrIpdXd
48,Call in sick to work and make an appointment with my doctor,Call for the cashier and leave if there is no response...,0,30,0,9.516666666666667,26.133333333333333,CdSQ1sQn
49,call and reschedule,leave money on the counter,0,30,0,4.0,15.4,AurHVksI
50,take a vitamin pill and drink a lot of water,Look for a cashier,0,30,0,6.083333333333333,11.916666666666666,Ak3Z4zD7
51,panic and anxiety,fear of being late,5,30,5,8.083333333333334,18.2,QmKjj4qr
52,Good Decision,Honesty,0,30,4,6.966666666666667,11.266666666666667,vl54HL1H
53,"Take medicine, drink tons of water and get to the interview.",Leave cash and a note,0,30,0,4.883333333333334,17.366666666666667,Gk1jf1rf
54,I just try to prepare for interview with this illness,I'll wait until the cashier arrive in this place,2,30,4,10.25,20.483333333333334,DBfvFSca
