text,sentiment,claim
This is necessary. We need to explore new ideas like this because of space constraints and environmental concerns. ,0.3612,0.157440475
"A more practical way to deal with human remains. Burial leaches chemicals into the ground, and  cremation releases earth-warming carbon dioxide.",0,0.21765244
This a less expensive way of dealing with human remains that is better for the environment than burial.,0.4404,0.290403024
"Using humans for compost, might as well join Jeffrey Dahmer for dinner. It creates brain lesions and spongiform in the brain like mad cow disease. ",0.5719,0.304469116
Human flesh is toxic due to biomagnification. ,0,0.235133634
That is sick!!! There will be a special section in Hell for these sick people.,-0.8854,0.250761861
Using  dead human as compost!!!! this goes beyond insanity ,-0.8798,0.251069152
This is sacrilegious and horrifying and ultimate denial of the soul,-0.5719,0.250084123
human life is not sacred.  Most people are just stupid pieces of sh*t that would be more useful as compost ,-0.0534,0.206557516
Most horrific scifi is becoming reality. ,-0.6901,0.314568497
What’s magical is that we cease to be human during this process. ,0,0.209780228
"Hey everyone: human heads go in the compost, not the recycling.",0,0.172124921
This will change the world! An environmentally friendly alternatives to traditional burial practices.,0.5411,0.161742239
"That reflects a mechanistic view of humankind, in which we are no different from dogs or monkeys, or for that matter, garbage from last night’s supper thrown into a compost pile. ",-0.2732,0.284988411
"Burial ceremonies took place for a reason. It is to pay homage, or at least respect, to the deceased, to honor the gods, to provide what was once called “a decent burial.”",0.7096,0.251976903
So basically life is meaningless and history pointless.,-0.4404,0.270966432
Proper and traditional burial provides the framework where loved ones can fulfill their responsibilities to the dead. ,0.3612,0.215141591
That is commodification of human beings. Treating us as nothing but livestock.,0,0.229206294
"This is gross. this is not God's will, or He would have made it clear to us in His Word that this is what we are to do.",-0.128,0.184521505
"when human life is deemed disposable through abortion and euthanasia, the human corpse fares no better.",-0.4588,0.176204946
The practice of human composting is but a symptom of the march toward secularism. it is the responsibility of people of faith to resist the effort to minimize the spirit and soul of man.,0.6956,0.1959983
"the right to bury our loved ones came from unwritten and unchanging laws. They are not just for today or yesterday but exist forever, and no one knows where they first appeared.",-0.09,0.285375385
This is not right. The body is sacred and must be treated with all due dignity and respect. It has always been this way.,0.7003,0.16661977
"Right?! Ughhh.....! Between this, the abortion after birth, and then using human cadavers as actual COMPOST, I can't... My life is surely half over & if it weren't for my child, I'd just give up, lol! I laugh, only bc of the pure disbelief & absurdity of it ALL!",0.8877,0.14547536
Ironic… we are elevating animals by pretending they have human thoughts while simultaneously denigrating human life to the compost pile,0.1027,0.262359332
we have lost the traditional sense of respect for our dead,-0.5423,0.220420214
they want to turn Grannie into compost,0.0772,0.129280381
Nature knows how to transform our bodies to soil all on its own,0,0.092517969
"We have all this energy and potential that's either burned up or sealed away in burials, when it could be utilized to let life go on ",0.3346,0.179655047
"What's most important to me is that after I'm gone, my body is able to give back to this earth that has supported me, and through that create new life ",0.6697,0.185373315
"It's the only way to go. Waters near cemeteries are polluted with embalming carcinogens and as long as you didn't die of Ebola, your body is not a risk to the living.",0.2406,0.279216971
"That is so comforting and natural. I always hoped that after death my remains would be reduced to soil and spread around to help out some flowers, or a tree",0.7687,0.218207806
Ew…I don’t know about that! Composting makes me think of banana peels and coffee grounds,0,0.153124524
