Unit of observation,X,Y,True relationship,Political?,rho,set
diamonds,Weight,Price,Strongly positive,No,0.9,1
cities,Temperature,Crime rate,Positive,No,0.4,1
people,Yearly income,Height,None,No,0,1
people,Exercise amount,Body weight,Negative,No,-0.4,1
cities,Temperature,Sales of Mittens,Strongly Negative,No,-0.9,1
countries,Government spending,Budget deficit,Strongly positive,Yes,0.9,2
countries,Immigrant population,Economic growth,Positive,Yes,0.4,2
cities,Income tax rate,Poverty rate,None,Yes,0,2
companies,Labor union participation,Corporate profits,Negative,Yes,-0.4,2
cities,Vaccination rate,Rate of illness,Strongly Negative,Yes,-0.9,2
